name,type,total_sales,median_year_built,median_area,median_sale_price,median_price_sf
Cherokee,county,4308,2001,2208,449950,208.0848272
Clayton,county,3390,1983,1568,225000,140.4837018
Cobb,county,10892,1988,1824,394000,220.4899993
DeKalb,county,9121,1976,1686,323000,200.8603448
Douglas,county,2035,1989,1700,290000,168.8717949
Fayette,county,1307,1991,2234,459000,215.4458071
Forsyth,county,3323,2003,2429,579051,247.8134111
Fulton,county,15581,1986,1670,395000,255.0382653
Gwinnett,county,10966,1997,2216.5,400000,187.9738317
Henry,county,3417,2001,2084,320000,156.4716312
Rockdale,county,1243,1985,1788,272000,154.4331395
