county,total_sales,median_priceSF,median_DOM,median_PriceChange,median_ListPrice
Fayette,956,220.7798992418151,63.5,-0.4,549450.0
Rockdale,709,165.68679850347408,66.0,-1.9,309000.0
Cobb,7492,229.45363153304916,53.0,-1.0,450000.0
Forsyth,1875,260.8695652173913,60.0,-1.8,650000.0
Clayton,1900,142.16431254700248,56.0,0.0,250000.0
Henry,2268,167.08887717656154,67.0,-1.8,340240.0
Gwinnett,6192,192.9781157495421,54.0,-1.0,439900.0
Fulton,8040,271.51265326375494,63.0,-1.0,419030.0
Douglas,1032,184.17408674559212,60.0,-1.1,329900.0
DeKalb,5704,204.69425375031784,62.0,-2.3,305000.0
Cherokee,2473,221.45224465200363,56.0,-0.7,529999.0
