county,total_sales,median_priceSF,median_size,median_vintage
Cherokee,2473,221.45224465200363,2016.0,2001.0
Clayton,1900,142.16431254700248,1568.0,1986.0
Cobb,7492,229.45363153304916,1766.0,1987.0
DeKalb,5704,204.69425375031784,1698.0,1975.0
Douglas,1032,184.17408674559212,1522.5,1991.0
Fayette,956,220.7798992418151,2100.5,1992.0
Forsyth,1875,260.8695652173913,2222.0,2002.0
Fulton,8040,271.51265326375494,1672.0,1987.0
Gwinnett,6192,192.9781157495421,2134.0,1996.0
Henry,2268,167.08887717656154,1768.5,1999.0
Rockdale,709,165.68679850347408,1644.0,1986.0
