hex_id,total_sales,median_priceSF,median_size,median_vintage
8744c1000ffffff,9,192.9260450160772,1866.0,1975.0
8744c1001ffffff,17,140.2116402116402,2734.0,2018.5
8744c1002ffffff,12,156.72940523261786,1658.0,1973.0
8744c1003ffffff,13,148.38709677419354,2098.0,1999.0
8744c1004ffffff,2,148.14873280346023,1984.0,1995.0
8744c1005ffffff,11,172.37631184407795,2080.0,1993.0
8744c1006ffffff,11,170.66290550070522,2486.0,1992.0
8744c1008ffffff,24,93.63578088578089,1755.0,1958.0
8744c1009ffffff,79,142.00792602377808,1496.0,1989.0
8744c100affffff,2,2275.5279055186347,2075.0,2001.5
8744c100bffffff,3,77.35148514851485,3232.0,1956.0
8744c100cffffff,7,144.73045167557066,1404.0,2002.0
8744c100dffffff,21,125.0,1494.0,1986.0
8744c100effffff,15,160.25641025641025,1992.0,2016.0
8744c1010ffffff,17,159.26892950391644,1556.0,1976.0
8744c1011ffffff,20,164.22337304097266,1431.0,1973.0
8744c1012ffffff,5,163.17733990147784,1476.0,2003.0
8744c1013ffffff,31,130.75492831541217,1323.0,1978.0
8744c1014ffffff,56,,0.0,1999.5
8744c1015ffffff,9,1711.650478490296,1736.0,1998.0
8744c1016ffffff,11,125.66760917373549,2194.0,1993.0
8744c1018ffffff,9,181.54761904761904,672.0,2001.0
8744c1019ffffff,32,128.14234919842804,2632.5,2004.0
8744c101affffff,6,129.64993697146957,2299.5,2000.5
8744c101bffffff,4,187.93650793650795,2062.5,1980.5
8744c101cffffff,13,8186.034318398475,1674.0,1971.0
8744c101dffffff,6,174.30869706732835,2856.0,1996.5
8744c101effffff,37,140.6641604010025,1320.0,1985.0
8744c1020ffffff,2,495.02649840085905,1356.5,1980.5
8744c1021ffffff,11,145.0,1598.0,2002.0
8744c1022ffffff,10,165.10446046171523,2907.0,1999.0
8744c1023ffffff,32,146.39321990036876,1591.5,2001.0
8744c1024ffffff,5,174.96740547588004,2686.0,2016.0
8744c1025ffffff,4,151.3892567786313,1723.5,1979.0
8744c1026ffffff,6,179.41846020886783,2819.5,1997.0
8744c1028ffffff,4,92.86857647513385,2835.0,1987.0
8744c1029ffffff,24,138.36105687882338,1705.0,1986.0
8744c102affffff,1,192.92212041884815,1528.0,
8744c102bffffff,9,116.5351506456241,2788.0,2003.0
8744c102cffffff,16,126.42311067413408,2075.0,1999.0
8744c102dffffff,18,,480.0,2000.0
8744c102effffff,26,160.52362662532153,1648.5,1998.0
8744c1030ffffff,1,201.69851380042465,1884.0,1983.0
8744c1031ffffff,6,171.3925875517696,2618.0,1999.5
8744c1032ffffff,28,158.94200436787187,1346.0,1974.0
8744c1033ffffff,15,161.72506738544473,1328.0,1985.5
8744c1034ffffff,7,151.97876447876448,2199.0,1997.0
8744c1035ffffff,2,82.13103376838617,2137.0,1974.0
