name,type,total_sales,median_year_built,median_area,median_sale_price,median_price_sf
13057090101,tract,69,2002,2112,410000,223.4636872
13057090102,tract,90,2012,2308,452500,211.4268823
13057090103,tract,70,2013,2038,357500,185.1377789
13057090201,tract,56,1999.5,1958.5,404500,220.9902159
13057090202,tract,186,1998,2212,432500,198.4464618
13057090301,tract,96,2003.5,3346,616250,186.6445689
13057090302,tract,38,2002,2439,544950,187.7875877
13057090303,tract,126,2008,2379,504559,196.4877402
13057090401,tract,24,1992,1572,267650,200.5298546
13057090402,tract,129,2016,2104,432000,203.1019202
13057090503,tract,92,2001.5,3375,888550,270.3568078
13057090504,tract,89,2005,3206,615000,198.771636
13057090505,tract,95,2004,2874,647500,213.6871508
13057090506,tract,66,2002.5,2816.5,625000,220.9400887
13057090507,tract,25,2001,2846,700000,209.0464548
13057090603,tract,88,2000,2507.5,510500,198.8897567
13057090604,tract,25,1993,2357,500000,211.9944212
13057090605,tract,52,1992,1760,338960,190.6479132
13057090606,tract,48,1999.5,1914.5,426750,201.2174984
13057090703,tract,52,1988,1628,395201,220.4389358
13057090704,tract,61,1986,1676,360000,226.1904762
13057090705,tract,36,1998.5,2535,500000,197.7262266
13057090706,tract,63,2000,3008,575000,195.5877511
13057090707,tract,54,2005,1696,340000,203.9285707
13057090708,tract,77,2004,1979,382500,195.6680585
13057090709,tract,95,2015,1919,390000,202.6635785
13057090710,tract,42,2002,2873.5,570500,184.4697605
13057090805,tract,102,1988,2226,487500,223.3412322
13057090806,tract,71,2002,2028,410000,199.4535519
13057090807,tract,127,2009,2497,509500,209.9802372
13057090808,tract,106,2000.5,2793.5,592500,204.390491
13057090809,tract,73,1988,2634,545000,208.3333333
13057090810,tract,85,2006,2914,605000,203.0066815
13057090905,tract,68,1992,1294.5,339950,256.310583
13057090906,tract,120,2006,2480.5,533750,229.1644742
13057090907,tract,71,1992,1863,430000,238.6363636
13057090908,tract,118,2004,1781.5,425000,228.6171179
13057090909,tract,92,2007,2327,547500,230.5973692
13057090910,tract,78,2000,2060,447500,223.7494544
13057090911,tract,89,1995,2364,485000,220.9856916
13057090912,tract,62,1993.5,2228,423700,210.4259785
13057091001,tract,125,2004,1863,410000,240.1129944
13057091006,tract,75,1993,2710,515000,186.8228404
13057091007,tract,92,1993,2365,451500,193.3619085
13057091009,tract,72,1999,2168,469250,213.3819717
13057091010,tract,27,1994,3630,655000,177.5406775
13057091011,tract,49,1995,2220,445000,205.2583026
13057091012,tract,60,1997,2148,413500,222.826206
13057091013,tract,59,1985,2029,410000,193.1423611
13057091014,tract,58,1999,1845,370000,199.0585521
13057091101,tract,96,1986,1912,415000,210.6422399
